Name,Number
Luna,16051
Bella,15838
Milo,12588
Bailey,12179
Lola,11636
Charlie,10876
Coco,10639
Teddy,10527
Buddy,10500
Max,9684
Daisy,9424
Ruby,9211
Poppy,8898
Willow,8497
Rosie,7716
Molly,7642
Bruno,7507
Alfie,7387
Bonnie,7374
Nala,7256
Marley,7185
Cooper,7056
Dexter,7005
Bear,6995
Oscar,6921
Harley,6848
Loki,6834
Archie,6698
Millie,6638
Reggie,6525
Hugo,6364
Winnie,5840,
Toby,5833
Frankie,5701
Shadow,553
Rocky,5420
Blue,5404
Roxy,5400
Riley,5331
Rocco,5321