Breed,Name,Number
French Bulldog,Hugo,1900
Cocker Spaniel,Bailey,1465
Labrador,Luna,1150
German Shepherd,Luna,845
Staffordshire Bull Terrier,Luna,844
Labrador Retriever,Bailey,731
Shih Tzu,Teddy,704
Dachshung,Frank,622
Golden Retriever,Bailey,566
Cavalier King Charles Spaniel Charlie,Charlie,480
Jack Russell Terrier,Milo,461
Border Collie,Luna,449
English Springer Spaniel,Max,437
Yorkshire Terrier,Teddy,405
Beagle,Bella,402
Cockerpoo, Teddy, 401
Pug, Bella, 382
Pomeranian, Teddy, 341
Siberian Husky, Luna, 324
Rottweiler, Bear, 285
Lhasa Apso, Teddy, 236
Dachshund, Frank, 219
Boxer, Ruby, 219
Bichon Frise, Teddy, 219
American Bulldog, Luna, 219
English Bull Dog, Reggie, 217
Miniature Schnauzers, Alfie, 215
Toy Poodle, Teddy, 210
West Highland White Terrier, Alfie, 206
Bulldog, Winston, 201